feature,importance
V165_isna,0
V164_clip_low,0
V164_isna,0
V163_clip_low,0
V171_clip_low,0
V170_clip_high,0
V170_clip_low,0
V169_clip_high,0
V169_clip_low,0
V168_clip_high,0
V168_clip_low,0
V167_clip_high,0
V167_clip_low,0
V175_clip_low,0
V175_isna,0
V174_clip_high,0
V174_clip_low,0
V174_isna,0
V173_clip_low,0
V173_isna,0
V172_clip_high,0
V172_clip_low,0
V172_isna,0
V171_clip_high,0
V179_clip_high,0
V179_clip_low,0
V179_isna,0
V178_clip_low,0
V178_isna,0
V177_clip_low,0
V177_isna,0
V176_clip_high,0
V176_clip_low,0
V176_isna,0
V183_clip_high,0
V183_clip_low,0
V183_isna,0
V182_clip_high,0
V182_clip_low,0
V182_isna,0
V181_clip_high,0
V181_clip_low,0
V181_isna,0
V180_clip_high,0
V180_clip_low,0
V180_isna,0
C6_clip_high,0
C6_clip_low,0
C5_clip_low,0
V186_clip_low,0
V186_isna,0
V185_clip_high,0
V185_clip_low,0
V185_isna,0
V184_clip_high,0
V2_clip_high,0
V2_clip_low,0
V1,0
V1_clip_high,0
V1_clip_low,0
V1_isna,0
D15_clip_high,0
D15_clip_low,0
V7_clip_low,0
V7_isna,0
V184_clip_low,0
V184_isna,0
V188_clip_low,0
V188_isna,0
V187_clip_low,0
V187_isna,0
V186_clip_high,0
C10_clip_low,0
C9_clip_high,0
C9_clip_low,0
C8_clip_high,0
C8_clip_low,0
V336_clip_high,0
C7_clip_low,0
V336_clip_low,0
V192_clip_high,0
V192_clip_low,0
V192_isna,0
V191,0
V191_clip_high,0
V191_clip_low,0
V191_isna,0
V336_isna,0
V190_clip_high,0
V190_clip_low,0
V190_isna,0
V189_clip_high,0
V189_clip_low,0
V189_isna,0
V335_clip_low,0
V197_clip_low,0
V197_isna,0
V196,0
V196_clip_high,0
V196_clip_low,0
V196_isna,0
V195_clip_high,0
V195_clip_low,0
V195_isna,0
V194_clip_high,0
V194_clip_low,0
V194_isna,0
V335_isna,0
V193_clip_high,0
V193_clip_low,0
V193_isna,0
V202_clip_low,0
V202_isna,0
V201_clip_high,0
V201_clip_low,0
V201_isna,0
V200_clip_high,0
V200_clip_low,0
V200_isna,0
V334_clip_high,0
V199_clip_high,0
V199_clip_low,0
V199_isna,0
V198_clip_high,0
V198_clip_low,0
V198_isna,0
V206_clip_low,0
V206_isna,0
V205_clip_high,0
V205_clip_low,0
V205_isna,0
V204_clip_high,0
V204_clip_low,0
V204_isna,0
V203_clip_high,0
V203_clip_low,0
V203_isna,0
V202_clip_high,0
V210_clip_low,0
V210_isna,0
V209_clip_high,0
V209_clip_low,0
V209_isna,0
V208_clip_high,0
V208_clip_low,0
V208_isna,0
V207_clip_high,0
V207_clip_low,0
V207_isna,0
V206_clip_high,0
V214_clip_low,0
V214_isna,0
V213_clip_high,0
V213_clip_low,0
V213_isna,0
dist1_clip_low,0
V212_clip_low,0
V212_isna,0
V211_clip_high,0
V211_clip_low,0
V211_isna,0
V210_clip_high,0
V218_clip_low,0
V217_clip_high,0
V217_clip_low,0
uid_is_new,0
V21_isna,0
V216_clip_low,0
V216_isna,0
V215_clip_high,0
V215_clip_low,0
V215_isna,0
V20_clip_low,0
V214_clip_high,0
V222_clip_high,0
V222_clip_low,0
V250,0
V221_clip_high,0
V221_clip_low,0
V153,0
V220_clip_high,0
V220_clip_low,0
V220_isna,0
V219_clip_high,0
V219_clip_low,0
D13_clip_high,0
D13_clip_low,0
D12_clip_high,0
D12_clip_low,0
D12_isna,0
D11_clip_high,0
D11_clip_low,0
V198,0
V23_isna,0
V194,0
V197,0
V22_clip_low,0
V22_isna,0
V331_clip_high,0
V28,0
V28_clip_high,0
V28_clip_low,0
V28_isna,0
V35_clip_low,0
V338_isna,0
V337_clip_high,0
V34_clip_low,0
V34_isna,0
D10_clip_high,0
D10_clip_low,0
V3_clip_low,0
C13_clip_high,0
V44_isna,0
V43_clip_high,0
V218_clip_high,0
V226_clip_high,0
V226_clip_low,0
V226_isna,0
V225_clip_high,0
V225_clip_low,0
V225_isna,0
V43_clip_low,0
V224_clip_low,0
V224_isna,0
V43_isna,0
V42_clip_low,0
V223_clip_low,0
V223_isna,0
V42_isna,0
V230_clip_high,0
V230_clip_low,0
V230_isna,0
V41,0
V229_clip_high,0
V229_clip_low,0
V229_isna,0
V41_clip_high,0
V228_clip_high,0
V228_clip_low,0
V228_isna,0
V227_clip_low,0
V227_isna,0
V41_clip_low,0
V234_clip_low,0
V41_isna,0
V233_clip_high,0
V233_clip_low,0
V233_isna,0
V232_clip_high,0
V232_clip_low,0
V232_isna,0
V48_clip_low,0
V231_clip_high,0
V231_clip_low,0
V231_isna,0
V48_isna,0
V238_clip_high,0
V238_clip_low,0
V238_isna,0
V47_clip_low,0
V237_clip_high,0
V237_clip_low,0
V237_isna,0
V47_isna,0
V236_clip_high,0
V236_clip_low,0
V236_isna,0
V46_clip_high,0
V235_clip_high,0
V235_clip_low,0
V235_isna,0
V242,0
V242_clip_high,0
V242_clip_low,0
V242_isna,0
V241,0
V241_clip_high,0
V241_clip_low,0
V241_isna,0
V240,0
V240_clip_high,0
V240_clip_low,0
V240_isna,0
V46_isna,0
V239_clip_high,0
V239_clip_low,0
V239_isna,0
V247_isna,0
V45_isna,0
V246_clip_high,0
V246_clip_low,0
V246_isna,0
V245_clip_high,0
V245_clip_low,0
V245_isna,0
V14_isna,0
V244_clip_high,0
V244_clip_low,0
V244_isna,0
V243_clip_high,0
V243_clip_low,0
V243_isna,0
V251_clip_low,0
V251_isna,0
V250_clip_high,0
V250_clip_low,0
V250_isna,0
V13_clip_low,0
V249_clip_high,0
V249_clip_low,0
V249_isna,0
V13_isna,0
V248_clip_low,0
V248_isna,0
V247,0
V247_clip_high,0
V247_clip_low,0
TransactionAmt_clip_low,0
V12_clip_low,0
dist2_clip_low,0
V254_clip_low,0
V254_isna,0
V12_isna,0
V19_clip_high,0
V253_clip_low,0
V253_isna,0
V252,0
V252_clip_high,0
V252_clip_low,0
V252_isna,0
V251_clip_high,0
V256_clip_low,0
V256_isna,0
V255_clip_high,0
V255_clip_low,0
V255_isna,0
V19_clip_low,0
V19_isna,0
V18_clip_high,0
C4_clip_low,0
C3,0
C3_clip_low,0
C2_clip_high,0
V18_clip_low,0
C1_clip_high,0
V261_clip_low,0
V261_isna,0
V260_clip_high,0
V260_clip_low,0
V260_isna,0
V259_clip_high,0
V259_clip_low,0
V259_isna,0
V258_clip_high,0
V258_clip_low,0
V258_isna,0
V257_clip_high,0
V257_clip_low,0
V257_isna,0
V265_clip_high,0
V265_clip_low,0
V265_isna,0
V264_clip_high,0
V264_clip_low,0
V264_isna,0
V263_clip_high,0
V263_clip_low,0
V18_isna,0
V262_clip_high,0
D9_clip_low,0
D8_clip_high,0
D8_clip_low,0
V52_clip_low,0
D7_clip_high,0
D7_clip_low,0
D6_clip_high,0
D6_clip_low,0
D14_clip_high,0
D14_clip_low,0
V262_clip_low,0
V262_isna,0
V52_isna,0
V269_clip_high,0
V269_clip_low,0
V269_isna,0
V268_clip_high,0
V268_clip_low,0
V268_isna,0
V267_clip_high,0
V267_clip_low,0
V267_isna,0
V266_clip_high,0
V266_clip_low,0
V266_isna,0
V273_clip_high,0
V273_clip_low,0
V273_isna,0
V272_clip_high,0
V272_clip_low,0
V272_isna,0
V51_clip_low,0
V271_clip_low,0
V271_isna,0
V270_clip_high,0
