feature,importance
V242_isna,0
V242_clip_low,0
V242_clip_high,0
D1_clip_low,0
V243_isna,0
V243_clip_low,0
V243_clip_high,0
V129_isna,0
V244_isna,0
V244_clip_low,0
V244_clip_high,0
V128_clip_high,0
V245_isna,0
V245_clip_low,0
V245_clip_high,0
V339_clip_low,0
V246_isna,0
V246_clip_low,0
V246_clip_high,0
V128_clip_low,0
V247_isna,0
V247_clip_low,0
D1_clip_high,0
D2_clip_low,0
V248_isna,0
V248_clip_low,0
V248_clip_high,0
V128_isna,0
V249_isna,0
V249_clip_low,0
V249_clip_high,0
D2_clip_high,0
V250_isna,0
V250_clip_low,0
V250_clip_high,0
V339_clip_high,0
V251_isna,0
V251_clip_low,0
V251_clip_high,0
D3_clip_low,0
V252_isna,0
V252_clip_low,0
V252_clip_high,0
D3_clip_high,0
V253_isna,0
V253_clip_low,0
V253_clip_high,0
V154_clip_high,0
V254_isna,0
V254_clip_low,0
V254_clip_high,0
V254,0
V255_isna,0
V255_clip_low,0
V255_clip_high,0
V127_clip_low,0
V256_isna,0
V256_clip_low,0
V127_isna,0
V126_clip_high,0
V257_isna,0
V257_clip_low,0
V257_clip_high,0
V126_clip_low,0
V258_isna,0
V258_clip_low,0
D4_clip_low,0
V126_isna,0
V259_isna,0
V259_clip_low,0
D4_clip_high,0
D5_clip_low,0
V260_isna,0
V260_clip_low,0
V260_clip_high,0
D6_clip_low,0
V261_isna,0
V261_clip_low,0
D6_clip_high,0
addr2,0
V262_isna,0
V262_clip_low,0
V262_clip_high,0
V125_clip_low,0
V263_isna,0
V263_clip_low,0
V263_clip_high,0
V125_isna,0
V264_isna,0
V264_clip_low,0
V264_clip_high,0
V124_clip_low,0
V265_isna,0
V265_clip_low,0
V265_clip_high,0
V124_isna,0
V266_isna,0
V266_clip_low,0
D7_clip_low,0
V123_clip_high,0
V267_isna,0
V267_clip_low,0
V267_clip_high,0
V123_clip_low,0
V268_isna,0
V268_clip_low,0
V268_clip_high,0
V123_isna,0
V269_isna,0
V269_clip_low,0
D7_clip_high,0
V122,0
V270_isna,0
V270_clip_low,0
D8_clip_low,0
V122_clip_high,0
V271_isna,0
V271_clip_low,0
V122_clip_low,0
V122_isna,0
V272_isna,0
V272_clip_low,0
V272_clip_high,0
V121,0
V273_isna,0
V273_clip_low,0
V273_clip_high,0
D9_clip_low,0
V274_isna,0
V274_clip_low,0
V274_clip_high,0
V121_clip_low,0
V275_isna,0
V275_clip_low,0
V275_clip_high,0
V152_clip_high,0
V276_isna,0
V276_clip_low,0
V276_clip_high,0
V121_isna,0
V277_isna,0
V277_clip_low,0
V277_clip_high,0
V120,0
V278_isna,0
V278_clip_low,0
V278_clip_high,0
D9_clip_high,0
V279_isna,0
V279_clip_low,0
V279_clip_high,0
dist1_clip_low,0
V280_isna,0
V280_clip_low,0
D10_clip_low,0
dist1_clip_high,0
V155_isna,0
V281_clip_low,0
V120_clip_low,0
V120_isna,0
D10_clip_high,0
V282_clip_low,0
V119,0
V119_clip_high,0
D11_clip_low,0
V283_clip_low,0
V119_clip_low,0
dist2_clip_low,0
V284_isna,0
